Unnamed: 0,Country,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
35,Argentina,Lit Killah,1vqR17Iv8VFdzure1TAXEq,Tan Bien (feat. Agus Padilla),43Q1jBoHh3pQkh3Oy7TA1g,2018-11-29,74,0.784,0.7609999999999999
36,Argentina,Bhavi,7fT2Me47PQ8T7954PKrcwR,No Lo Entiendo,2pfV8fZZdLRsZYatVGKlUq,2019-01-24,71,0.87,0.542
37,Argentina,Brytiago,00XhexlJEXQstHimpZN910,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,2018-10-31,86,0.825,0.69
38,Argentina,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,2019-02-01,82,0.7240000000000001,0.7909999999999999
39,Argentina,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Sola,675w3ACw5xZR3ODhUJlEVN,2018-11-09,81,0.7040000000000001,0.706
40,Argentina,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
41,Argentina,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Chica Paranormal,7zAGi1cps7yYhAajGXlFTH,2018-07-24,78,0.84,0.596
42,Argentina,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.545
43,Argentina,Maluma,1r4hJ1h58CWwUQe3MxPuau,Mala Mía,62o8KoI44JfN7aYxgTnPvh,2018-08-10,84,0.7490000000000001,0.752
44,Argentina,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2018-08-24,88,0.754,0.805
45,Argentina,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,2019-02-07,76,0.688,0.62
46,Argentina,Jowell & Randy,4IMAo2UQchVFyPH24PAjUs,Dile la Verdad,6qP73DRFGojLuIk1siIhNE,2019-01-11,84,0.8859999999999999,0.701
47,Argentina,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,80,0.397,0.396
48,Argentina,TINI,7vXDAI8JwjW531ouMGbfcp,Quiero Volver,5NrIX1ozc9LGt19ISgPDIY,2018-10-12,72,0.672,0.83
49,Argentina,Karol G,790FomKkXshlbRYZFtlgla,Culpables,6q8Lb50EtqNeeJXXe8mMAH,2018-09-14,86,0.728,0.8009999999999999
0,Brazil,Tropkillaz,5bzWtCkjIAMgN93gLt56SO,Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,2019-02-22,78,0.8340000000000001,0.777
1,Brazil,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,93,0.5720000000000001,0.385
2,Brazil,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,2019-01-11,81,0.872,0.971
3,Brazil,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,2019-02-22,57,0.603,0.804
4,Brazil,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,2018-09-20,84,0.6759999999999999,0.8440000000000001
5,Brazil,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,2018-12-07,84,0.848,0.933
6,Brazil,Anitta,7FNnA9vBm6EKceENgCGRMb,Terremoto,7G2XZhDNHo7SSDWSVxC0UT,2019-02-01,83,0.8909999999999999,0.805
7,Brazil,Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,2018-10-17,82,0.65,0.361
8,Brazil,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Notificação Preferida - Ao Vivo,2qkNnJvQvhLiZ63X1L3eFz,2018-05-18,80,0.398,0.838
9,Brazil,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,Quem Me Dera,2lAyctg5FocS67eksHoyIg,2018-12-12,68,0.815,0.723
10,Brazil,Melim,6uYrXgVHctAJtIdSODcyLJ,Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,2018-06-08,81,0.6409999999999999,0.614
11,Brazil,MC L da Vinte,0lHB0Qc4pmD5RkTLlHeESo,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,2018-07-23,83,0.828,0.599
12,Brazil,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,Infarto,0XEJ7eph2IWFYZc73Jm3n2,2018-11-05,80,0.613,0.794
13,Brazil,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,Jenifer,7wMAgaPiKzTNxpDWu2BPfk,2019-02-01,63,0.768,0.934
14,Brazil,Simone & Simaria,0MInKJqZscEeNc5K3K0mkE,Qualidade De Vida - Ao Vivo,5Wmg5LPPJnbMsKA9fthM3l,2019-01-09,81,0.8320000000000001,0.833
15,Brazil,Jerry Smith,6OpOg5HVCc8xVf7OVrd5Fk,Quem Tem o Dom,2mJOngYlqgfdLMBSxPcJL3,2019-01-18,74,0.807,0.782
16,Brazil,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,92,0.7709999999999999,0.32
17,Brazil,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,2018-09-14,80,0.608,0.7290000000000001
18,Brazil,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Medley da Gaiola - Dennis DJ Remix,7rLegaz7zKB6EtDNzcslKE,2018-08-27,81,0.897,0.757
19,Brazil,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Sem Sal - Ao Vivo,0EZuXcsnjEmGuRYdFdcctX,2019-02-22,56,0.5589999999999999,0.8440000000000001
20,Brazil,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Poesia Acústica #6: Era uma Vez,13Rf6RaZT13TW4xLQR3MQr,2018-12-24,78,0.518,0.575
21,Brazil,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Ciumeira - Ao Vivo,7D5F5BzIon5zhzQrOU2pdN,2019-02-22,55,0.741,0.813
22,Brazil,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,Só Pra Castigar,2X8sssaxS5GReg6945B6RW,2018-09-12,81,0.6809999999999999,0.94
23,Brazil,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,Cem Mil - Ao Vivo,5eMmT4Ava5BGThju0AD8vQ,2018-10-26,78,0.901,0.8190000000000001
24,Brazil,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,2018-12-07,78,0.493,0.8320000000000001
25,Brazil,Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,Traí Sim - Ao Vivo,3o67Yt3Ua1qlSNV22zWUAn,2018-11-30,79,0.6990000000000001,0.86
26,Brazil,Dilsinho,4NUePmzDvCYqilXBFa91Hg,Péssimo Negócio - Ao Vivo,5MMrkwK6AgNAsgHVdC7daZ,2019-01-31,67,0.5379999999999999,0.6509999999999999
27,Brazil,Lexa,0jTDeBJQr3unrK29LklnAv,Só Depois do Carnaval,6HtVFR6WAeJRgYtleNcEE8,2019-01-31,74,0.833,0.917
28,Brazil,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,2019-02-22,66,0.6629999999999999,0.884
29,Brazil,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,"Quem Pegou, Pegou",0kCqaybZgYcLYxzZymmBoc,2018-08-20,80,0.6990000000000001,0.682
30,Brazil,Lucas Lucco,06cd30Cv9US973Ika84gDw,Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,2018-10-18,79,0.703,0.929
31,Brazil,Lexa,0jTDeBJQr3unrK29LklnAv,Sapequinha,7LPR6AdkOQR9WpEixCGNCk,2018-08-03,79,0.677,0.984
32,Brazil,IZA,3zgnrYIltMkgeejmvMCnes,Dona de mim,0H8CBal2Dcu5Yc001VotZN,2018-04-27,67,0.412,0.809
33,Brazil,Lauana Prado,6TYimByryGphZCtwYopH0y,Cobaia,1xyVMQx51Kab6eLVtE6twx,2018-06-08,64,0.7509999999999999,0.7090000000000001
34,Brazil,Melim,6uYrXgVHctAJtIdSODcyLJ,Meu Abrigo,5U28PY9MekLyCBYtLHGQpe,2018-06-08,78,0.6579999999999999,0.5720000000000001
35,Brazil,Ludmilla,3CDoRporvSjdzTrm99a3gi,Vem amor,5rRi4RW8F99U24EAS2Cdte,2019-02-07,72,0.62,0.7040000000000001
36,Brazil,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,To Gostando Tanto de Você,4HTrlT5mmxPaZZKs4JSPeI,2018-09-14,77,0.8690000000000001,0.6809999999999999
37,Brazil,George Henrique & Rodrigo,3FlCKtwOEYQQYyGVEbxG2Z,Compartilhando Mágoa,3M6QJpWhM9NPcBwxTRKLlH,2018-12-07,72,0.795,0.68
